driverId,week,hours-logged,miles-logged
82,52,75,400
93,11,67,3500
101,48,63,0
21,3,64,2900
27,8,77,500
93,13,55,2700
98,18,55,2500
50,9,79,3300
29,18,55,1300
63,24,63,900
56,8,75,900
32,9,60,100
51,17,59,2600
97,12,61,1300
69,13,59,2400
101,25,54,3200
37,29,76,3600
63,2,75,1900
86,36,55,1600
25,14,73,3000
45,31,51,1500
68,27,50,800
50,22,53,2900
102,22,79,1500
98,22,69,2900
84,48,65,1400
54,47,67,3800
21,6,53,1800
88,41,60,2400
87,40,66,2500
11,46,54,1700
29,3,68,1700
19,46,61,1500
61,3,59,900
109,38,55,2100
46,47,54,200
92,8,70,3200
45,9,79,3000
103,5,67,1400
86,9,75,3000
11,48,71,1100
37,51,57,2900
32,13,68,300
97,48,77,1000
43,29,57,2400
61,6,53,3900
38,7,74,2200
98,26,74,4000
14,8,52,800
73,2,58,1900
107,48,56,4000
10,13,55,2600
105,27,50,2300
78,34,57,1100
74,17,51,1800
30,29,58,3000
47,28,58,600
88,29,59,2200
77,33,69,3200
98,50,80,1400
71,49,68,1900
87,18,68,3200
50,37,71,2800
78,34,72,2700
57,15,62,3700
109,6,64,2600
38,28,64,2100
81,6,78,1800
22,52,62,2100
12,34,64,0
69,50,70,600
26,8,80,2800
59,35,75,400
84,3,62,2800
68,2,55,900
29,48,59,1600
53,15,55,2000
99,14,56,2200
88,27,55,200
78,5,78,1100
27,46,64,2300
68,41,79,700
49,25,70,2300
47,39,51,1500
72,51,64,3100
68,35,64,1900
106,50,57,1600
37,24,76,3400
76,17,68,3800
86,48,80,800
68,4,57,1100
59,14,65,2100
79,11,50,600
66,31,67,2200
13,16,75,3000
81,6,76,3400
45,13,59,100
105,42,71,1700
72,46,71,2200
71,27,56,3800
79,18,59,3100
74,35,50,700
108,3,75,1400
94,10,75,1100
86,25,66,1200
20,42,65,1300
108,43,61,2600
81,42,53,600
83,17,64,2100
32,31,67,4000
83,17,70,400
41,51,51,2100
68,40,73,3200
40,31,65,200
61,47,63,600
80,13,67,500
62,3,56,1300
40,15,68,1400
33,30,50,1300
26,48,68,4000
33,7,62,600
55,10,71,1700
73,16,73,100
81,35,80,2600
72,42,70,400
24,6,73,1000
83,5,54,600
56,31,69,1300
11,3,57,1000
84,9,70,1000
38,33,73,1900
36,21,67,2100
104,43,79,3800
56,7,64,3700
78,31,64,200
68,14,59,1700
32,26,79,1700
99,24,66,3800
88,31,78,800
54,33,80,3400
10,25,54,1200
15,7,59,3600
59,33,76,1200
10,47,70,500
70,29,66,1400
50,31,59,2700
76,9,73,600
39,52,64,500
102,29,62,600
67,11,73,200
48,36,60,1600
26,21,72,500
34,25,80,4000
69,4,61,400
71,12,70,1600
87,41,59,600
47,26,72,400
72,26,62,3700
43,32,53,800
15,24,76,3400
77,40,65,3700
54,8,78,3900
68,41,66,0
54,29,51,200
41,13,76,2200
